Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,168.490005,170.699997,165.619995,170.550003,168.834290,49814400
2020-03-05,166.050003,170.869995,165.690002,166.270004,164.597351,47817300
2020-03-06,162.610001,163.110001,156.000000,161.570007,159.944641,72821100
2020-03-09,151.000000,157.750000,150.000000,150.619995,149.104797,70419300
2020-03-10,158.160004,161.029999,152.580002,160.919998,159.301178,65354400
2020-03-11,157.130005,157.699997,151.149994,153.630005,152.084518,56371600
2020-03-12,145.300003,153.470001,138.580002,139.059998,137.661087,93226400
2020-03-13,147.500000,161.910004,140.729996,158.830002,157.232208,92727400
2020-03-16,140.000000,149.350006,135.000000,135.419998,134.057693,87905900
2020-03-17,140.000000,147.500000,135.000000,146.570007,145.095551,81059800
2020-03-18,138.000000,146.000000,135.020004,140.399994,138.987595,81593200
2020-03-19,142.770004,150.149994,139.000000,142.710007,141.274368,85922700
2020-03-20,146.000000,147.100006,135.860001,137.350006,135.968292,84866200
2020-03-23,137.009995,140.570007,132.520004,135.979996,134.612076,78975200
2020-03-24,143.750000,149.600006,141.270004,148.339996,146.847717,82516700
2020-03-25,148.910004,154.330002,144.440002,146.919998,145.442017,75638200
2020-03-26,148.399994,156.660004,148.369995,156.110001,154.539566,64568100
2020-03-27,151.750000,154.889999,149.199997,149.699997,148.194046,57042300
2020-03-30,152.440002,160.600006,150.009995,160.229996,158.618118,63420300
2020-03-31,159.399994,164.779999,156.559998,157.710007,156.123474,77927200
2020-04-01,153.000000,157.750000,150.820007,152.110001,150.579803,57969900
2020-04-02,151.860001,155.479996,150.360001,155.259995,153.698120,49630700
2020-04-03,155.100006,157.380005,152.190002,153.830002,152.282501,41243300
2020-04-06,160.320007,166.500000,157.580002,165.270004,163.607422,67111700
2020-04-07,169.589996,170.000000,163.259995,163.490005,161.845322,62769000
2020-04-08,165.669998,166.669998,163.500000,165.130005,163.468811,48318200
2020-04-09,166.360001,167.369995,163.330002,165.139999,163.478729,51431800
2020-04-13,164.350006,165.570007,162.300003,165.509995,163.844971,41905300
