Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,25.652500,26.342501,25.500000,26.337500,24.286829,270597600
2016-01-05,26.437500,26.462500,25.602501,25.677500,23.678217,223164000
2016-01-06,25.139999,25.592501,24.967501,25.174999,23.214844,273829600
2016-01-07,24.670000,25.032499,24.107500,24.112499,22.235067,324377600
2016-01-08,24.637501,24.777500,24.190001,24.240000,22.352650,283192000
2016-01-11,24.742500,24.764999,24.334999,24.632500,22.714586,198957600
2016-01-12,25.137501,25.172501,24.709999,24.990000,23.044247,196616800
2016-01-13,25.080000,25.297501,24.325001,24.347500,22.451773,249758400
2016-01-14,24.490000,25.120001,23.934999,24.879999,22.942812,252680400
2016-01-15,24.049999,24.427500,23.840000,24.282499,22.391836,319335600
2016-01-19,24.602501,24.662500,23.875000,24.165001,22.283493,212350800
2016-01-20,23.775000,24.547501,23.355000,24.197500,22.313448,289337600
2016-01-21,24.264999,24.469999,23.735001,24.075001,22.200495,208646000
2016-01-22,24.657499,25.365000,24.592501,25.355000,23.380831,263202000
2016-01-25,25.379999,25.382500,24.802500,24.860001,22.924366,207178000
2016-01-26,24.982500,25.219999,24.517500,24.997499,23.051168,300308000
2016-01-27,24.010000,24.157499,23.334999,23.355000,21.536556,533478800
2016-01-28,23.447500,23.629999,23.097500,23.522499,21.691010,222715200
2016-01-29,23.697500,24.334999,23.587500,24.334999,22.440243,257666000
2016-02-01,24.117500,24.177500,23.850000,24.107500,22.230461,163774000
2016-02-02,23.855000,24.010000,23.570000,23.620001,21.780922,149428800
2016-02-03,23.750000,24.209999,23.520000,24.087500,22.212017,183857200
2016-02-04,23.965000,24.332500,23.797501,24.150000,22.390491,185886800
2016-02-05,24.129999,24.230000,23.422501,23.504999,21.792488,185672400
2016-02-08,23.282499,23.924999,23.260000,23.752501,22.021955,216085600
2016-02-09,23.572500,23.985001,23.482500,23.747499,22.017319,177324800
2016-02-10,23.980000,24.087500,23.525000,23.567499,21.850428,169374400
2016-02-11,23.447500,23.680000,23.147499,23.424999,21.718309,200298800
2016-02-12,23.547501,23.625000,23.252501,23.497499,21.785530,161405600
2016-02-16,23.754999,24.212500,23.652500,24.160000,22.399763,196231600
2016-02-17,24.167500,24.552500,24.037500,24.530001,22.742805,179452800
2016-02-18,24.709999,24.722500,24.022499,24.065001,22.311686,156084000
2016-02-19,24.000000,24.190001,23.950001,24.010000,22.260695,141496800
2016-02-22,24.077499,24.225000,23.980000,24.219999,22.455393,137123200
2016-02-23,24.100000,24.125000,23.637501,23.672501,21.947783,127770400
2016-02-24,23.495001,24.094999,23.330000,24.025000,22.274601,145022800
2016-02-25,24.012501,24.190001,23.812500,24.190001,22.427582,110330800
2016-02-26,24.299999,24.504999,24.145000,24.227501,22.462343,115964400
2016-02-29,24.215000,24.557501,24.162500,24.172501,22.411354,140865200
2016-03-01,24.412500,25.192499,24.355000,25.132500,23.301409,201628400
2016-03-02,25.127501,25.222500,24.910000,25.187500,23.352398,132678400
2016-03-03,25.145000,25.427500,25.112499,25.375000,23.526245,147822800
2016-03-04,25.592501,25.937500,25.342501,25.752501,23.876236,184220400
2016-03-07,25.597500,25.707500,25.240000,25.467501,23.612003,143315600
2016-03-08,25.195000,25.440001,25.100000,25.257500,23.417303,126247600
2016-03-09,25.327499,25.395000,25.067499,25.280001,23.438164,108806800
2016-03-10,25.352501,25.559999,25.037500,25.292500,23.449755,134054400
2016-03-11,25.559999,25.570000,25.375000,25.565001,23.702398,109632800
2016-03-14,25.477501,25.727501,25.445000,25.629999,23.762663,100304400
2016-03-15,25.990000,26.295000,25.962500,26.145000,24.240143,160270800
2016-03-16,26.152500,26.577499,26.147499,26.492500,24.562325,153214000
2016-03-17,26.379999,26.617500,26.240000,26.450001,24.522921,137682800
2016-03-18,26.584999,26.625000,26.297501,26.480000,24.550734,176820800
2016-03-21,26.482500,26.912500,26.285000,26.477501,24.548420,142010800
2016-03-22,26.312500,26.822500,26.302500,26.680000,24.736162,129777600
2016-03-23,26.620001,26.767500,26.475000,26.532499,24.599405,102814000
2016-03-24,26.367500,26.562500,26.222500,26.417500,24.492788,104532000
2016-03-28,26.500000,26.547501,26.264999,26.297501,24.381531,77645600
2016-03-29,26.222500,26.947500,26.219999,26.920000,24.958677,124760400
2016-03-30,27.162500,27.605000,27.150000,27.389999,25.394436,182404400
2016-03-31,27.430000,27.475000,27.219999,27.247499,25.262321,103553600
2016-04-01,27.195000,27.500000,27.049999,27.497499,25.494097,103496000
2016-04-04,27.605000,28.047501,27.567499,27.780001,25.756020,149424800
2016-04-05,27.377501,27.682501,27.355000,27.452499,25.452377,106314800
2016-04-06,27.557501,27.745001,27.299999,27.740000,25.718927,105616400
2016-04-07,27.487499,27.605000,27.030001,27.135000,25.158018,127207600
2016-04-08,27.227501,27.442499,27.042500,27.165001,25.185827,94326800
2016-04-11,27.242500,27.652500,27.207500,27.254999,25.269266,117630000
2016-04-12,27.334999,27.625000,27.165001,27.610001,25.598404,108929200
2016-04-13,27.700001,28.084999,27.700001,28.010000,25.969265,133029200
2016-04-14,27.905001,28.097500,27.832500,28.025000,25.983171,101895600
2016-04-15,28.027500,28.075001,27.432501,27.462500,25.461649,187756000
2016-04-18,27.222500,27.237499,26.735001,26.870001,24.912323,243286000
2016-04-19,26.969999,27.000000,26.557501,26.727501,24.780201,129539600
2016-04-20,26.660000,27.022499,26.514999,26.782499,24.831198,122444000
2016-04-21,26.732500,26.732500,26.379999,26.492500,24.562325,126210000
2016-04-22,26.252501,26.620001,26.155001,26.420000,24.495106,134732400
2016-04-25,26.250000,26.412500,26.127501,26.270000,24.356035,112126400
2016-04-26,25.977501,26.325001,25.977501,26.087500,24.186836,224064800
2016-04-27,24.000000,24.677500,23.920000,24.455000,22.673277,458408400
2016-04-28,24.402500,24.469999,23.562500,23.707500,21.980234,328970800
2016-04-29,23.497499,23.680000,23.127501,23.434999,21.727585,274126000
2016-05-02,23.492500,23.520000,23.100000,23.410000,21.704405,192640400
2016-05-03,23.549999,23.934999,23.420000,23.795000,22.061354,227325200
2016-05-04,23.799999,23.975000,23.455000,23.547501,21.831886,164102000
2016-05-05,23.500000,23.517500,23.170000,23.309999,21.743273,143562000
2016-05-06,23.342501,23.362499,22.962500,23.180000,21.622013,174799600
2016-05-09,23.250000,23.442499,23.147499,23.197500,21.638336,131745600
2016-05-10,23.332500,23.392500,23.027500,23.355000,21.785250,134747200
2016-05-11,23.370001,23.392500,23.115000,23.127501,21.573042,114876400
2016-05-12,23.180000,23.195000,22.367500,22.584999,21.067003,305258800
2016-05-13,22.500000,22.917500,22.500000,22.629999,21.108974,177571200
2016-05-16,23.097500,23.597500,22.912500,23.469999,21.892519,245039200
2016-05-17,23.637501,23.674999,23.252501,23.372499,21.801571,187667600
2016-05-18,23.540001,23.802500,23.472500,23.639999,22.051098,168249600
2016-05-19,23.660000,23.660000,23.392500,23.549999,21.967142,121768400
2016-05-20,23.660000,23.857500,23.629999,23.805000,22.205004,128104000
2016-05-23,23.967501,24.297501,23.917500,24.107500,22.487175,152074400
2016-05-24,24.305000,24.522499,24.209999,24.475000,22.829975,140560800
2016-05-25,24.667500,24.934999,24.527500,24.905001,23.231070,152675200
2016-05-26,24.920000,25.182501,24.660000,25.102501,23.415300,225324800
2016-05-27,24.860001,25.117500,24.812500,25.087500,23.401302,145364800
2016-05-31,24.900000,25.100000,24.705000,24.965000,23.287039,169228800
2016-06-01,24.754999,24.885000,24.582500,24.615000,22.960562,116693200
2016-06-02,24.400000,24.459999,24.157499,24.430000,22.787998,160766400
2016-06-03,24.447500,24.567499,24.362499,24.480000,22.834635,114019600
2016-06-06,24.497499,25.472500,24.387501,24.657499,23.000204,93170000
2016-06-07,24.812500,24.967501,24.740000,24.757500,23.093481,89638000
2016-06-08,24.754999,24.889999,24.670000,24.735001,23.072498,83392400
2016-06-09,24.625000,24.997499,24.615000,24.912500,23.238066,106405600
2016-06-10,24.632500,24.837500,24.620001,24.707500,23.046841,126851600
2016-06-13,24.672501,24.780001,24.275000,24.334999,22.699379,152082000
2016-06-14,24.330000,24.620001,24.187500,24.365000,22.727362,127727600
2016-06-15,24.455000,24.602501,24.257500,24.285000,22.652740,117780800
2016-06-16,24.112499,24.437500,24.017500,24.387501,22.748356,125307200
2016-06-17,24.155001,24.162500,23.825001,23.832500,22.230656,244032800
2016-06-20,24.000000,24.142500,23.757500,23.775000,22.177023,137647600
2016-06-21,23.735001,24.087500,23.670000,23.977501,22.365910,142185600
2016-06-22,24.062500,24.222500,23.837500,23.887501,22.281956,116876400
2016-06-23,23.985001,24.072500,23.812500,24.025000,22.410215,128960800
2016-06-24,23.227501,23.665001,23.162500,23.350000,21.780588,301245600
2016-06-27,23.250000,23.262501,22.875000,23.010000,21.463438,181958400
2016-06-28,23.225000,23.415001,23.035000,23.397499,21.824892,161779600
2016-06-29,23.492500,23.637501,23.407499,23.600000,22.013788,146124000
2016-06-30,23.610001,23.942499,23.575001,23.900000,22.293617,143345600
2016-07-01,23.872499,24.117500,23.832500,23.972500,22.361244,104106000
2016-07-05,23.847500,23.850000,23.615000,23.747499,22.151369,110820800
2016-07-06,23.650000,23.915001,23.592501,23.882500,22.277296,123796400
2016-07-07,23.924999,24.125000,23.905001,23.985001,22.372908,100558400
2016-07-08,24.122499,24.222500,24.012501,24.170000,22.545471,115648400
2016-07-11,24.187500,24.412500,24.182501,24.245001,22.615433,95179600
2016-07-12,24.292500,24.424999,24.280001,24.355000,22.718037,96670000
2016-07-13,24.352501,24.417500,24.209999,24.217501,22.589781,103568800
2016-07-14,24.347500,24.747499,24.330000,24.697500,23.037518,155676000
2016-07-15,24.730000,24.825001,24.625000,24.695000,23.035185,120548000
2016-07-18,24.674999,25.032499,24.650000,24.957500,23.280043,145975600
2016-07-19,24.889999,25.000000,24.834999,24.967501,23.289370,95119600
2016-07-20,25.000000,25.115000,24.934999,24.990000,23.310352,105104000
2016-07-21,24.957500,25.250000,24.782499,24.857500,23.186764,130808000
2016-07-22,24.815001,24.825001,24.577499,24.665001,23.007198,113254800
2016-07-25,24.562500,24.709999,24.230000,24.334999,22.699379,161531600
2016-07-26,24.205000,24.492500,24.105000,24.167500,22.543139,224959200
2016-07-27,26.067499,26.087500,25.687500,25.737499,24.007620,369379200
2016-07-28,25.707500,26.112499,25.705000,26.084999,24.331757,159479200
2016-07-29,26.047501,26.137501,25.920000,26.052500,24.301445,110934800
2016-08-01,26.102501,26.537500,26.102501,26.512501,24.730528,152671600
2016-08-02,26.512501,26.517500,26.000000,26.120001,24.364407,135266400
2016-08-03,26.202499,26.459999,26.192499,26.447500,24.669891,120810400
2016-08-04,26.395000,26.500000,26.320000,26.467501,24.822292,109634800
2016-08-05,26.567499,26.912500,26.545000,26.870001,25.199776,162213600
2016-08-08,26.879999,27.092501,26.790001,27.092501,25.408447,112148800
2016-08-09,27.057501,27.235001,27.002501,27.202499,25.511604,105260800
2016-08-10,27.177500,27.225000,26.940001,27.000000,25.321690,96034000
2016-08-11,27.129999,27.232500,26.962500,26.982500,25.305283,109938000
2016-08-12,26.945000,27.110001,26.945000,27.045000,25.363895,74641600
2016-08-15,27.035000,27.385000,27.020000,27.370001,25.668697,103472800
2016-08-16,27.407499,27.557501,27.302500,27.344999,25.645248,135177600
